Category,Product URL,Brand,Product Name,Original Price,Sale Price,Flags,Rating
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182989&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=23,AHC,[보송/1등 노세범] AHC 마스터즈 에어리치 선스틱 22g,"24,000원","18,300원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219383&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=24,토리든,[6월올영픽/물막선크림] 토리든 다이브인 모이스처 선크림 60ml 1+1 기획,"25,000원","19,000원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207901&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=25,아누아,[수분 선크림] 아누아 어성초 실키 모이스처 선크림 50ml 더블 기획,"34,900원","24,500원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219554&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=26,구달,[6월 올영픽/스티치에디션] 구달 맑은 어성초 진정 무기자차 선크림 50ml 1+1 기획 (+포캣 파우치 랜덤 증정),"20,000원","16,500원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202359&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=27,메이크프렘,[생기톤업 무기자차/단독기획] 메이크프렘 수딩 핑크 톤업 선크림 40ml+40ml,"30,000원","25,500원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209372&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=28,프롬리에,[화잘먹/선앰플] 프롬리에 비건 EGF 시카 선앰플 워터/보송/2입 중 택1,"33,000원","23,100원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226554&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=29,브링그린,[쿨링진정/키움 콜라보] 브링그린 티트리시카 선 3종 기획세트 (선쿠션/선스틱/선크림),"36,000원","16,900원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179295&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=30,톤핏선,[얇착쿠션/다크닝제로] 톤핏선 비건 선쿠션 2종 택1 (핑베톤업/베베톤업) SPF50+ PA++++,"24,000원","19,200원","['세일', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000221880&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=31,식물나라,[6월 올영픽/NEW] 식물나라 제주알로에 쿨링 선 스프레이 (단품/1+1),"14,800원","7,400원","['세일', '쿠폰', '오늘드림']",
선케어,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223906&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=%EB%9E%AD%ED%82%B9&t_click=%ED%8C%90%EB%A7%A4%EB%9E%AD%ED%82%B9_%EC%84%A0%EC%BC%80%EC%96%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=32,식물나라,[6월 올영픽/온가족 선크림] 식물나라 가벼운 수분 선 젤 (2개입/증정기획),"25,800원","14,630원","['세일', '쿠폰', '오늘드림']",
